Period,LeftHipAngle
1,157.946811598251
2,157.862466664478
3,157.768341635954
4,157.673909603483
5,157.582378328193
6,157.509101795857
7,157.458800188133
8,157.438093072371
9,157.448308943326
10,157.490274055642
11,157.56581547605
12,157.684164009488
13,157.843294786348
14,158.063679098497
15,158.345824482787
16,158.707996694672
17,159.163141957732
18,159.727539708658
19,160.410625710463
20,161.223072826971
21,162.170675729788
22,163.242717381652
23,164.446817620496
24,165.759292777657
25,167.168457551197
26,168.653443686095
27,170.179049490327
28,171.741917783255
29,173.29752919835
30,174.831356764445
31,176.318792453967
32,177.713585636586
33,178.79424968073
34,178.58695957395
35,177.415424374845
36,176.061402086616
37,174.67803124094
38,173.274181092586
39,171.87059326447
40,170.480722476308
41,169.10935155707
42,167.773189183635
43,166.491550972717
44,165.243061879574
45,164.061484859977
46,162.93936143963
47,161.881561717046
48,160.892292587192
49,159.970144617911
50,159.119263607625
51,158.343172207116
52,157.631726877563
53,156.995360040934
54,156.424305964192
55,155.926900243833
56,155.484996805586
57,155.110398467169
58,154.787488587835
59,154.519123462691
60,154.294380351491
61,154.114427574077
62,153.971270742604
63,153.867295317648
64,153.788492517058
65,153.728804229979
66,153.692589334061
67,153.669099340792
68,153.654841196991
69,153.64523528072
70,153.638117728201
71,153.634005957258
72,153.632354971771
73,153.633289724519
74,153.633069568966
75,153.639578098882
76,153.636504369456
77,153.626886139691
78,153.602528688841
79,153.5745532271
80,153.528831536492
81,153.469345233201
82,153.409817851989
83,153.346014111278
84,153.286718110022
85,153.230578400331
86,153.185793006794
87,153.148876043006
88,153.134134240524
89,153.146633041812
90,153.196990232239
91,153.288621218167
92,153.428841459328
93,153.615035450928
94,153.848516995793
95,154.123124485203
96,154.428325863746
97,154.757411206562
98,155.100057655663
99,155.445528040527
100,155.785693442423
101,156.113544389547
102,156.423025267003
103,156.709656089711
104,156.970054624225
105,157.201409687223
106,157.402352760526
107,157.57223351898
108,157.709482497798
109,157.81640472485
110,157.890973310501
111,157.937617037827
112,157.958687192106
113,157.957368874147
114,157.940337057746
115,157.90835638714
116,157.864207084652
117,157.813004702106
118,157.750012914844
119,157.679494998663
120,157.599631162069
121,157.515536347562
122,157.432153546288
123,157.354043665992
124,157.295789156051
125,157.258376691896
126,157.254421472063
127,157.280627303482
128,157.336765202769
129,157.421785706904
130,157.537679880899
131,157.687952510054
132,157.878964808907
133,158.120209019767
134,158.422134743249
135,158.802588105512
136,159.273386302499
137,159.850261454881
138,160.545182957671
139,161.372974297066
140,162.332710858244
141,163.422498514935
142,164.643025435018
143,165.977109929922
144,167.404137619007
145,168.917292185445
146,170.482499750927
147,172.07312074044
148,173.673771174795
149,175.249308429304
150,176.732530187894
151,177.962166913452
152,178.276501115669
153,177.329608914785
154,175.916043382006
155,174.367816239253
156,172.768185876245
157,171.150309136787
158,169.536309186031
159,167.94588293437
160,166.39627206298
161,164.90601505033
162,163.487991219484
163,162.151446460417
164,160.908281209813
165,159.761287118963
166,158.71639715556
167,157.774566710806
168,156.936538523844
169,156.204096701264
170,155.573613325812
171,155.04406336115
172,154.609840529423
173,154.264767101698
174,154.000539072755
175,153.806275440728
176,153.672131543093
177,153.58696772647
178,153.541201035368
179,153.523642417517
180,153.523999436552
181,153.529325767157
182,153.527614699395
183,153.509421001022
184,153.46666372248
185,153.396195663618
186,153.296605477918
187,153.173628220151
188,153.031362815876
189,152.877243760369
190,152.718956494754
191,152.560393200703
192,152.405690322965
193,152.25769815372
194,152.119482806578
195,151.993859705015
196,151.883985550489
197,151.793037559285
198,151.724397315003
199,151.679404244427
200,151.658563602093
201,151.662317037805
202,151.694564467368
203,151.756478657318
204,151.856067921235
205,151.997384739366
206,152.183285252313
207,152.417289553191
208,152.697345892618
209,153.020750616007
210,153.380451206784
211,153.770692501915
212,154.182641716899
213,154.60855686173
214,155.038716045666
215,155.464984310292
216,155.879627424431
217,156.276831254075
218,156.65105115481
219,156.996630267151
220,157.310298681328
221,157.591026206264
222,157.83466399331
223,158.042377268617
224,158.214281904592
225,158.35183414512
226,158.456589907813
227,158.532564661077
228,158.582777764089
229,158.61073342545
230,158.619118856984
231,158.608937260888
232,158.578183834311
233,158.524265314975
234,158.445418944141
235,158.340145565036
236,158.215212186197
237,158.079456321606
238,157.94430465881
239,157.825255405539
240,157.732358053538
241,157.673483955367
242,157.654771765616
243,157.678825459727
244,157.746712191165
245,157.86369342004
246,158.038332126243
247,158.283511762391
248,158.61307158943
249,159.0444562559
250,159.591694418855
251,160.267173737525
252,161.079892654342
253,162.032538813246
254,163.122272251504
255,164.342539910361
256,165.680435096988
257,167.120400937845
258,168.64207421098
259,170.221159266394
260,171.82991964499
261,173.440084138728
262,175.021602800516
263,176.530939017936
264,177.860109693833
265,178.516159255857
266,177.826667075548
267,176.528232724835
268,175.084465770021
269,173.593293971782
270,172.087205960886
271,170.581891526357
272,169.091102032476
273,167.62590319097
274,166.195471659048
275,164.811554450074
276,163.478807098342
277,162.205997464641
278,160.998513650074
279,159.861987006051
280,158.802500839971
281,157.826967287572
282,156.940856587863
283,156.149483252621
284,155.457159472794
285,154.865352406644
286,154.373149206493
287,153.975252859409
288,153.66380695202
289,153.430468357445
290,153.264866658345
291,153.154886907268
292,153.090266809941
293,153.0588065823
294,153.049275552154
295,153.051328111506
296,153.054514123031
297,153.053782809626
298,153.046539260434
299,153.034959980406
300,153.022363551282
301,153.017049349959
302,153.024119813431
303,153.049744120387
304,153.091774966747
305,153.14586444409
306,153.204574222741
307,153.257482200153
308,153.29311135743
309,153.302507324431
310,153.283695097046
311,153.235407818344
312,153.162363590201
313,153.072266324198
314,152.97180391645
315,152.869038016462
316,152.770804149767
317,152.686018613131
318,152.625475456638
319,152.5979120227
320,152.613438085683
321,152.678229674968
322,152.795817175567
323,152.966477975391
324,153.185942540471
325,153.448367685561
326,153.745698642306
327,154.068600548143
328,154.408115089525
329,154.754818328158
330,155.10027858168
331,155.436640997627
332,155.75776559242
333,156.058963770947
334,156.333990516075
335,156.582068424222
336,156.799391551398
337,156.986238453938
338,157.142541820793
339,157.270146920972
340,157.370089564773
341,157.446490784947
342,157.501883140317
343,157.541035978262
344,157.563146220412
345,157.576637391876
346,157.579336142198
347,157.570889783407
348,157.547889511174
349,157.514090838296
350,157.461396317444
351,157.398088829883
352,157.320292986714
353,157.241996451664
354,157.167309352662
355,157.108764341833
356,157.068349378491
357,157.047204664571
358,157.049310570715
359,157.077257656249
360,157.129521073629
361,157.205035761063
362,157.312457190968
363,157.460458400419
364,157.653400669206
365,157.911160755513
366,158.240505530183
367,158.660565363802
368,159.183451536102
369,159.823089507678
370,160.586068842347
371,161.47326984378
372,162.492590529481
373,163.632126158144
374,164.885831251378
375,166.234553510831
376,167.676354380829
377,169.175408286147
378,170.723051465538
379,172.290323973809
380,173.854165319337
381,175.38765821493
382,176.810422234326
383,177.870116235613
384,177.86848859456
385,176.76895835211
386,175.255835401999
387,173.604531305987
388,171.895073458174
389,170.169650551057
390,168.452205047692
391,166.762214200797
392,165.129235427792
393,163.580933578982
394,162.109481082698
395,160.742352426386
396,159.494454065727
397,158.36608526493
398,157.358757634978
399,156.484890433252
400,155.738775951522
401,155.117379028915
402,154.618929168124
403,154.231908514778
404,153.950726319322
405,153.766272137654
406,153.666072733356
407,153.631823749037
408,153.659681248257
409,153.731677295324
410,153.84408261313
411,153.986137731814
412,154.147373419299
413,154.324713030283
414,154.51851397158
415,154.716324459122
416,154.914120663606
417,155.096721721809
418,155.271872258104
419,155.413308316587
420,155.513440556755
421,155.567770942565
422,155.567003282108
423,155.507726011063
424,155.392750057603
425,155.231378729684
426,155.039533740674
427,154.836414761721
428,154.631721316854
429,154.451527415565
430,154.296374934948
431,154.177666754699
432,154.101473279373
433,154.066013932658
434,154.078774379846
435,154.139782121126
436,154.253025642553
437,154.425968309076
438,154.662676279475
439,154.974095734856
440,155.363699487229
441,155.838185835675
442,156.407340608577
443,155.29187901699
444,155.247106003149
445,155.186750889772
446,155.118738580006
447,155.031867423084
448,154.944742258456
449,154.855942891129
450,154.786401445281
451,154.740417320036
452,154.712647246772
453,154.717489756435
454,154.733606153278
455,154.760492617263
456,154.778978109479
457,154.782935539763
458,154.762100348177
459,154.707922013988
460,154.627529362022
461,154.527981970354
462,154.408046886007
463,154.280244548489
464,154.152017347358
465,154.022726351922
466,153.911753780791
467,153.823710676039
468,153.770481484633
469,153.761853781135
470,153.804346241227
471,153.906707934331
472,154.067000168012
473,154.28334910024
474,154.549014585867
475,154.854571799156
476,155.189894983971
477,155.543505262308
